href,2021-01-01,2021-01-02
1169062,249.0,249.0
1064899,199.0,199.0
628105,269.0,269.0
1111457,220.0,220.0
684036,149.5,149.5
513742,200.0,200.0
998441,110.0,110.0
552217,169.99,169.99
1150153,69.98,69.98
1133185,59.99,59.99
724812,110.0,110.0
677413,63.0,63.0
907732,139.0,139.0
963465,120.0,120.0
1169019,129.0,129.0
1001018,129.95,129.95
1035870,40.0,40.0
567181,199.0,199.0
178268,160.0,160.0
896268,335.0,335.0
570196,199.0,199.0
1096208,169.0,169.0
1100503,170.0,170.0
545298,59.99,59.99
824242,149.95,149.95
612510,159.95,159.95
1055825,100.0,100.0
992787,140.0,140.0
1145319,140.0,140.0
1206495,149.95,149.95
1112084,174.5,174.5
574302,69.95,69.95
1083298,860.0,860.0
1163463,199.99,199.99
1069604,191.95,191.95
1101081,169.0,169.0
880985,99.99,99.99
1130638,114.98,114.98
1110856,74.98,74.98
1164770,99.95,99.95
1029651,90.0,90.0
178274,180.0,180.0
1124445,134.5,134.5
1029608,95.0,95.0
540452,260.0,260.0
1139547,99.0,99.0
1015498,129.99,129.99
1075819,183.2,183.2
1014856,220.0,220.0
816278,149.95,149.95
1110356,279.0,279.0
906678,160.0,160.0
1121827,108.0,108.0
1169030,99.0,99.0
1097286,179.95,179.95
1083416,179.0,179.0
1083881,119.95,119.95
1029648,100.0,100.0
1029656,100.0,100.0
1118168,149.0,149.0
1075784,219.95,219.95
178273,180.0,180.0
404587,160.0,160.0
1029615,100.0,100.0
1010222,98.0,98.0
1092082,170.0,170.0
1110489,119.95,119.95
1039101,48.0,48.0
1175194,139.0,139.0
1115745,165.0,165.0
1125114,45.0,45.0
1181873,160.0,160.0
1145339,140.0,140.0
178272,180.0,180.0
1096758,169.99,169.99
1213844,134.5,134.5
1001030,129.95,129.95
1151870,48.95,48.95
1076941,279.5,279.5
906667,110.0,110.0
1115161,164.5,164.5
513741,154.0,154.0
1124023,99.95,99.95
1086162,199.95,199.95
1070904,99.98,99.98
1117219,169.0,169.0
1125106,60.0,60.0
966805,100.0,100.0
1055827,160.0,160.0
836498,110.0,110.0
1032764,199.95,199.95
1104564,99.5,99.5
1029664,130.0,130.0
906819,120.0,120.0
1058803,70.0,70.0
543867,45.5,45.5
1129859,149.5,149.5
1071372,159.99,159.99
966850,100.0,100.0
1189776,149.0,149.0
1069976,99.98,99.98
1069301,84.98,84.98
1130220,18.0,18.0
1181981,180.0,180.0
1181874,160.0,160.0
963808,59.99,59.99
1118170,149.0,149.0
1130221,60.0,60.0
1151871,69.95,69.95
1178808,134.5,134.5
1069618,179.95,179.95
1135032,74.98,74.98
1156086,99.5,99.5
824243,149.95,149.95
906817,120.0,120.0
907802,140.0,140.0
1156097,99.5,99.5
1016941,137.45,137.45
836485,55.0,55.0
1128035,150.0,150.0
1136317,110.0,110.0
1055809,80.0,80.0
684037,299.95,299.95
906672,100.0,100.0
1092084,88.0,88.0
1184943,114.5,114.5
1212660,134.5,134.5
1076687,79.98,79.98
1023186,99.0,99.0
1071538,126.47,126.47
1117344,159.0,159.0
1108965,77.0,77.0
1013536,51.95,51.95
1109307,98.97,98.97
907665,119.0,119.0
1147608,55.0,55.0
1097471,129.0,129.0
903538,115.5,115.5
1063767,125.95,125.95
1016936,120.95,120.95
1161750,89.98,89.98
1134580,59.99,59.99
1014879,137.5,137.5
1109310,149.4,149.4
1079562,234.5,234.5
552218,59.45,59.45
806168,100.0,100.0
1092074,60.5,60.5
1104787,110.0,110.0
1092079,120.0,120.0
849811,80.0,80.0
