href,href_url,Brand,Item,is_men
1111795,/cullen-linen-blend-short-1111795.html,yd.,Cullen Linen Blend Short,True
1158019,/originals-long-shorts-1158019.html,Bonds,Originals Long Shorts,True
1128002,/twill-shorts-1128002.html,Champion,Twill Shorts,True
1200222,/throw-on-swim-short-1200222.html,Gazman,Throw On Swim Short,True
1176290,/forte-21-chino-shorts-1176290.html,UNIT,"Forte 21"" Chino Shorts",True
1128003,/reverse-weave-french-terry-script-shorts-1128003.html,Champion,Reverse Weave French Terry Script Shorts,True
1124266,/road-2-n-1-5-inch-short-men-s-1124266.html,ASICS,Road 2-N-1 5 Inch Short - Men's,True
1112188,/rick-icon-twill-shorts-1112188.html,Jack &amp; Jones,Rick Icon Twill Shorts,True
1104967,/the-iconic-exclusive-runner-shorts-1104967.html,Tommy Hilfiger,The Iconic Exclusive - Runner Shorts,True
1206232,/international-chino-short-1206232.html,Superdry,International Chino Short,True
954472,/stinger-shorts-954472.html,Rolla's,Stinger Shorts,True
1089627,/505-workwear-utility-shorts-1089627.html,Levi's,505™ Workwear Utility Shorts,True
1027302,/relaxed-fit-stretch-chino-shorts-1027302.html,French Connection,Relaxed Fit Stretch Chino Shorts,True
1099851,/birmingham-textured-short-1099851.html,yd.,Birmingham Textured Short,True
1101282,/q-speed-fuel-shorts-1101282.html,New Balance,Q Speed Fuel Shorts,True
1206216,/international-chino-short-1206216.html,Superdry,International Chino Short,True
1119999,/track-style-shorts-1119999.html,Jag,Track Style Shorts,True
919664,/basic-sweat-shorts-919664.html,Merlino Street,Basic Sweat Shorts,True
1118543,/atoll-elastic-shorts-1118543.html,Rusty,Atoll Elastic Shorts,True
1121279,/modern-10-sports-shorts-1121279.html,Puma,"Modern 10"" Sports Shorts",True
902423,/sureshot-shorts-902423.html,Zanerobe,Sureshot Shorts,True
1027288,/relaxed-fit-stretch-chino-shorts-1027288.html,French Connection,Relaxed Fit Stretch Chino Shorts,True
1108340,/icon-shorts-1108340.html,Abercrombie &amp; Fitch,Icon Shorts,True
1155908,/trainspotting-shorts-1155908.html,St Goliath,Trainspotting Shorts,True
1185245,/atoll-elastic-shorts-1185245.html,Rusty,Atoll Elastic Shorts,True
659324,/staple-organic-cotton-chino-shorts-659324.html,Staple Superior Organic,Staple Organic Cotton Chino Shorts,True
1110627,/bermuda-shorts-1110627.html,Emporio Armani EA7,Bermuda Shorts,True
1147821,/twill-shorts-1147821.html,Champion,Twill Shorts,True
1190358,/training-short-1190358.html,Superdry,Training Short,True
1144841,/fleece-stripe-shorts-1144841.html,Tommy Sport,Fleece Stripe Shorts,True
1176665,/2-in-1-shorts-1176665.html,Lyle and Scott,2-in-1 Shorts,True
973990,/motion-shorts-973990.html,Rodd &amp; Gunn,Motion Shorts,True
1176663,/core-shorts-1176663.html,Lyle and Scott,Core Shorts,True
1185032,/freehold-elastic-shorts-1185032.html,Rusty,Freehold Elastic Shorts,True
1200043,/mens-worker-20-5-chino-short-1200043.html,DC Shoes,"Mens Worker 20.5"" Chino Short",True
764866,/pima-cotton-chino-shorts-764866.html,Wayver,Pima Cotton Chino Shorts,True
1029617,/challenger-5-brief-lined-running-shorts-1029617.html,Nike,"Challenger 5"" Brief-Lined Running Shorts",True
1183346,/cobra-yoga-shorts-1183346.html,TEAMM8,Cobra Yoga Shorts,True
1190355,/training-short-1190355.html,Superdry,Training Short,True
1105925,/regular-sunfaded-shorts-1105925.html,Gant,Regular Sunfaded Shorts,True
1150160,/basic-cities-beachshorts-1150160.html,Stussy,Basic Cities Beachshorts,True
1150901,/mateo-cotton-item-shorts-1150901.html,SABA,Mateo Cotton Item Shorts,True
1151047,/05-conor-taper-shorts-1151047.html,Superdry,05 Conor Taper Shorts,True
1183352,/pivot-shorts-1183352.html,TEAMM8,Pivot Shorts,True
1141480,/myler-stretch-short-1141480.html,yd.,Myler Stretch Short,True
1003038,/ventilate-mesh-8-inch-2-in-1-shorts-1003038.html,ASICS,Ventilate Mesh 8-Inch 2-in-1 Shorts,True
1155980,/legion-fleece-shorts-1155980.html,St Goliath,Legion Fleece Shorts,True
1155978,/federal-shorts-1155978.html,St Goliath,Federal Shorts,True
1147452,/loopback-track-shorts-1147452.html,Sunspel,Loopback Track Shorts,True
1123563,/digital-motion-woven-shorts-1123563.html,Calvin Klein Performance,Digital Motion Woven Shorts,True
1192365,/rawlins-denim-shorts-1192365.html,Nena &amp; Pasadena,Rawlins Denim Shorts,True
1204208,/mens-dos-21-cargo-short-1204208.html,DC Shoes,"Mens Dos 21"" Cargo Short",True
972533,/freddy-printed-shorts-972533.html,Oxford,Freddy Printed Shorts,True
1206223,/edit-pleat-chino-short-1206223.html,Superdry,Edit Pleat Chino Short,True
764002,/ramble-ripped-shorts-764002.html,Silent Theory,Ramble Ripped Shorts,True
655494,/5-active-woven-shorts-655494.html,Puma,"5"" Active Woven Shorts",True
1179409,/mesh-street-shorts-1179409.html,X-Large,Mesh Street Shorts,True
1189332,/classic-twill-shorts-1189332.html,Fred Perry,Classic Twill Shorts,True
925964,/lionel-check-shorts-925964.html,Oxford,Lionel Check Shorts,True
1098454,/run-activchill-5-inch-epic-shorts-1098454.html,Reebok Performance,Run ACTIVCHILL 5-Inch Epic Shorts,True
1149483,/alvino-shorts-1149483.html,Fila,Alvino Shorts,True
1159488,/terrebonne-shorts-1159488.html,Patagonia,Terrebonne Shorts,True
1185019,/freehold-elastic-shorts-1185019.html,Rusty,Freehold Elastic Shorts,True
1128645,/wave-wash-twill-shorts-1128645.html,Billabong,Wave Wash Twill Shorts,True
1119835,/organic-cotton-five-pocket-shorts-1119835.html,Staple Superior Organic,Organic Cotton Five Pocket Shorts,True
892121,/slater-shorts-892121.html,Jac + Jack,Slater Shorts,True
1185219,/riffer-corduroy-shorts-1185219.html,Rusty,Riffer Corduroy Shorts,True
1186785,/kl2-shorts-1186785.html,New Balance,Kl2 Shorts,True
1006196,/celebration-colour-block-shorts-1006196.html,Puma,Celebration Colour Block Shorts,True
930394,/crossfire-x-shorts-930394.html,Billabong,Crossfire X Shorts,True
826271,/surftrek-perf-walkshorts-826271.html,Billabong,Surftrek Perf Walkshorts,True
1117452,/ever-cord-pull-on-shorts-1117452.html,Everloom,Ever Cord Pull-On Shorts,True
1089626,/505-workwear-utility-shorts-1089626.html,Levi's,505™ Workwear Utility Shorts,True
1162948,/ivan-shorts-1162948.html,Justin Cassin,Ivan Shorts,True
441081,/portsea-beach-shorts-441081.html,Blazer,Portsea Beach Shorts,True
1119383,/thomas-chino-shorts-1119383.html,SABA,Thomas Chino Shorts,True
1200578,/yogger-iv-shorts-1200578.html,RVCA,Yogger Iv Shorts,True
989741,/z-roadie-shorts-989741.html,Lee,Z-Roadie Shorts,True
1185256,/overtone-elastic-linen-shorts-1185256.html,Rusty,Overtone Elastic Linen Shorts,True
1145559,/relaxed-logo-shorts-1145559.html,Gant,Relaxed Logo Shorts,True
1092051,/r-y-v-shorts-1092051.html,adidas Originals,R.Y.V. Shorts,True
957827,/tropic-drawstring-linen-shorts-957827.html,Sportscraft,Tropic Drawstring Linen Shorts,True
1117130,/crossfire-slub-shorts-1117130.html,Billabong,Crossfire Slub Shorts,True
826587,/crossfire-x-shorts-826587.html,Billabong,Crossfire X Shorts,True
1159484,/terrebonne-shorts-1159484.html,Patagonia,Terrebonne Shorts,True
1141544,/benson-stretch-short-1141544.html,yd.,Benson Stretch Short,True
1188497,/clarke-shorts-1188497.html,Sportscraft,Clarke Shorts,True
1128646,/wave-wash-twill-shorts-1128646.html,Billabong,Wave Wash Twill Shorts,True
1123584,/ck-logo-waistband-side-panel-shorts-1123584.html,Calvin Klein Performance,CK Logo Waistband Side Panel Shorts,True
893939,/scheme-cargo-shorts-893939.html,Billabong,Scheme Cargo Shorts,True
1096403,/sergeant-shorts-1096403.html,Nena &amp; Pasadena,Sergeant Shorts,True
1145100,/basic-stock-beachshorts-1145100.html,Stussy,Basic Stock Beachshorts,True
1138659,/the-nephaline-cargo-shorts-1138659.html,Surrounded By Ghosts,The Nephaline Cargo Shorts,True
1162943,/ivan-shorts-1162943.html,Justin Cassin,Ivan Shorts,True
1102084,/terry-logo-shorts-1102084.html,Tommy Jeans,Terry Logo Shorts,True
1105927,/d2-relaxed-linen-drawstring-shorts-1105927.html,Gant,D2. Relaxed Linen Drawstring Shorts,True
1077546,/sanford-slim-stretch-suit-jacket-1077546.html,Tarocash,Sanford Slim Stretch Suit Jacket,True
1206478,/aoe-crew-1206478.html,Superdry,AOE Crew,True
1122357,/organic-cotton-hooded-sweat-1122357.html,AERE,Organic Cotton Hooded Sweat,True
1006639,/organic-crew-sweat-unisex-1006639.html,AERE,Organic Crew Sweat - Unisex,True
1110349,/flaming-skull-crew-sweater-1110349.html,Sunnyville,Flaming Skull Crew Sweater,True
1175434,/french-terry-script-crew-1175434.html,Champion,French Terry Script Crew,True
1157157,/trademark-hoodie-1157157.html,Poler,Trademark Hoodie,True
1200581,/bullshorn-crew-1200581.html,Elwood,Bullshorn Crew ,True
1074311,/heavy-panel-crew-unisex-1074311.html,Russell Athletic,Heavy Panel Crew - Unisex,True
756787,/must-haves-badge-of-sport-pullover-hoodie-756787.html,adidas Performance,Must Haves Badge Of Sport Pullover Hoodie,True
1139533,/bire-half-zip-unisex-1139533.html,Napapijri,Bire Half-Zip - Unisex,True
756779,/must-haves-3-stripes-full-zip-hoodie-756779.html,adidas Performance,Must Haves 3-Stripes Full-Zip Hoodie,True
